Title,Address,District,PostingDate,PostType,Price,Area,Direction,Bedrooms,Bathrooms,Floors,Width_meters,Legal,Interior,Entrancewidth,Area_m2,Price_ty,Bedrooms_n,Bathrooms_n,Floors_n,PropertyType,Legal_cat,Interior_cat,Direction_cat,Price_per_m2,log_Price,log_Area
"CAM KẾT GIÁ ĐÚNG. Bán căn hộ 3 ngủ 3 wc tại Viha Complex 9 tỷ, 93m2. Liên hệ: 24/7","Viha Complex, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",Thanh Xuân,15/12/2024,Căn hộ chung cư tại Viha Complex,9 tỷ,93 m²,Tây - Bắc,3 phòng,3 phòng,0,0,Sổ đỏ/ Sổ hồng,Cơ bản,0,93.0,9.0,3.0,3.0,1.0,Căn hộ chung cư,Sổ đỏ/Sổ hồng,Cơ bản,Tây - Bắc,96.7741935483871,2.1972245773362196,4.532599493153256
"CĐT Nam Cường mở bán đợt 1 dãy biệt thự chân chung cư, đường 30m. Chiết khấu 14%.Miễn gốc lãi 3 năm","Solasta Mansion Dương Nội, Tố Hữu, Dương Nội, Hà Đông, Hà Nội",Hà Đông,14/12/2024,"Nhà biệt thự, liền kề tại Solasta Mansion Dương Nội",139 triệu/m²,"212,5 m²",0,4 phòng,5 phòng,4 tầng,"8,5 m",Hợp đồng mua bán,0,30 m,212.5,29.5375,4.0,5.0,4.0,"Nhà biệt thự, liền kề",HĐMB,Chưa rõ,Chưa rõ,139.0,3.3856606425130265,5.358941988364472
"Quỹ hàng độc quyền các căn vị trí đẹp gần chung cư, công viên tại Vinhomes Cổ Loa, giá từ 14,x tỷ","Dự án Vinhomes Cổ Loa, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội",Đông Anh,15/12/2024,"Nhà biệt thự, liền kề tại Vinhomes Cổ Loa","14,5 tỷ","62,5 m²",0,0,0,5 tầng,0,Hợp đồng mua bán,0,0,62.5,14.5,5.0,5.0,5.0,"Nhà biệt thự, liền kề",HĐMB,Chưa rõ,Chưa rõ,232.0,2.6741486494265287,4.135166556742356
Bảng giá căn vị trí đẹp và rẻ nhất thị trường. Chiết khấu đến 22% chọn căn theo yêu cầu khách hàng,"Dự án Vinhomes Cổ Loa, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội",Đông Anh,11/12/2024,"Nhà biệt thự, liền kề tại Vinhomes Cổ Loa",24 tỷ,75 m²,0,0,0,0,0,0,0,0,75.0,24.0,5.0,5.0,4.0,"Nhà biệt thự, liền kề",Chưa rõ,Chưa rõ,Chưa rõ,320.0,3.1780538303479458,4.31748811353631
Mở bán Shophouse Chân Đế sổ lâu dài 65m2-trực tiếp CĐT-Sẵn siêu thị thuê 70tr/tháng (Vốn vào 30%),"Dự án Vinhomes Smart City , Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,10/12/2024,"Shophouse, nhà phố thương mại tại Vinhomes Smart City","11,1 tỷ",65 m²,0,0,0,0,0,Sổ đỏ/ Sổ hồng,0,0,65.0,11.1,5.0,4.0,5.0,"Shophouse, nhà phố thương mại",Sổ đỏ/Sổ hồng,Chưa rõ,Chưa rõ,170.76923076923077,2.4069451083182885,4.174387269895637
"Quỹ 500 căn hộ chính chủ gửi bán, pháp lý rõ ràng, giá rẻ nhất thị trường tại Vinhomes Ocean Park","Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",Gia Lâm,07/12/2024,Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm,"2,55 tỷ",55 m²,Tây - Bắc,2 phòng,1 phòng,0,0,Sổ đỏ/ Sổ hồng,Đầy đủ.,0,55.0,2.55,2.0,1.0,1.0,Căn hộ chung cư,Sổ đỏ/Sổ hồng,Đầy đủ/Cao cấp,Tây - Bắc,46.36363636363637,0.9360933591703348,4.007333185232471
CHCC Long Biên 2PN 74m2 80m2 từ 5.9 tỷ & duplex 169m2 từ 14 tỷ nhận nhà ở ngay đón tết,"Dự án Sunshine Green Iconic, Phường Phúc Đồng, Long Biên, Hà Nội",Long Biên,03/12/2024,Căn hộ chung cư tại Sunshine Green Iconic,"6,1 tỷ",80 m²,Đông - Bắc,2 phòng,2 phòng,0,0,Hợp đồng mua bán,Đầy đủ.,0,80.0,6.1,2.0,2.0,1.0,Căn hộ chung cư,HĐMB,Đầy đủ/Cao cấp,Đông - Bắc,76.25,1.8082887711792655,4.382026634673881
"Xem nhà 24/7: Cần ra hàng quỹ căn 2-3n trực tiếp CĐT, view đẹp/full chiết khấu + quà tặng vàng 9999","Dự án Hà Nội Melody Residences, Đường Bằng Liệt, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",Hoàng Mai,05/12/2024,Căn hộ chung cư tại Hà Nội Melody Residences,55 triệu/m²,75 m²,Nam,2 phòng,2 phòng,0,0,Hợp đồng mua bán,0,0,75.0,4.125,2.0,2.0,1.0,Căn hộ chung cư,HĐMB,Chưa rõ,Nam,55.0,1.4170660197866443,4.31748811353631
"Sở hữu căn hộ đẹp tại Vinhomes Ocean Park Không gian sống đẳng cấp, giá hấp dẫn đón Tết! Chuẩn 100%","Dự án The Sapphire 1 - Vinhomes Ocean Park, Xã Đa Tốn, Gia Lâm, Hà Nội",Gia Lâm,14/12/2024,Căn hộ chung cư tại The Sapphire 1 - Vinhomes Ocean Park,"1,8 tỷ",36 m²,0,1 phòng,1 phòng,0,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0,36.0,1.8,1.0,1.0,1.0,Căn hộ chung cư,Sổ đỏ/Sổ hồng,Đầy đủ/Cao cấp,Chưa rõ,50.0,0.5877866649021191,3.58351893845611
"Chính chủ bán căn hộ 83m2, 3PN 2WC, KĐT Xa La, Hà Đông, nội thất thiết kế và sửa lại hoàn toàn","Dự án KĐT Xa La, Phố Phùng Hưng, Phường Phúc La, Hà Đông, Hà Nội",Hà Đông,12/12/2024,Căn hộ chung cư tại Khu đô thị mới Xa La,"3,75 tỷ",83 m²,Đông - Nam,3 phòng,2 phòng,0,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0,83.0,3.75,3.0,2.0,1.0,Căn hộ chung cư,Sổ đỏ/Sổ hồng,Đầy đủ/Cao cấp,Đông - Nam,45.18072289156626,1.3217558399823195,4.418840607796598
"Full bảng hàng CĐT & chuyển nhượng từ 2-3-4 PN, nhận nhà ngay tại D.Le Roi Soleil, giá từ 8.7 tỷ","Dự án D’. Le Roi Soleil , 59 Đường Xuân Diệu, Phường Quảng An, Tây Hồ, Hà Nội",Tây Hồ,14/12/2024,Căn hộ chung cư tại D’. Le Roi Soleil,"13,76 tỷ",146 m²,0,3 phòng,2 phòng,0,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0,146.0,13.76,3.0,2.0,1.0,Căn hộ chung cư,Sổ đỏ/Sổ hồng,Đầy đủ/Cao cấp,Chưa rõ,94.24657534246575,2.6217658325051976,4.983606621708336
"Full quỹ căn 2 - 3 - 4N CĐT, Chuyển nhượng & cho thuê, giá tốt nhất tại D. Le Roi Soleil Quảng An","D’. Le Roi Soleil , Xuân Diệu, Quảng An, Tây Hồ, Hà Nội",Tây Hồ,14/12/2024,Căn hộ chung cư tại D’. Le Roi Soleil,"11,6 tỷ",111 m²,0,0,0,0,0,0,0,0,111.0,11.6,2.0,2.0,1.0,Căn hộ chung cư,Chưa rõ,Chưa rõ,Chưa rõ,104.50450450450451,2.451005098112319,4.709530201312334
"Trực tiếp CĐT bán BT Ciputra có hầm đã có sổ, nhận nhà ngay giá chỉ từ 348tr/m2. Vay 0% LS 12 tháng","Dự án Kita Capital Ciputra, Phường Phú Thượng, Tây Hồ, Hà Nội",Tây Hồ,14/12/2024,"Nhà biệt thự, liền kề tại Kita Capital Ciputra","48,4 tỷ",150 m²,Đông - Nam,5 phòng,4 phòng,4 tầng,7 m,Sổ đỏ/ Sổ hồng,0,"13,5 m",150.0,48.4,5.0,4.0,4.0,"Nhà biệt thự, liền kề",Sổ đỏ/Sổ hồng,Chưa rõ,Đông - Nam,322.6666666666667,3.879499813722586,5.0106352940962555
"Tổng hợp 5 căn giá tốt TN3-2x DT 75m giá 21 tỷ, AD3-2x DT 80m giá 19 tỷ, AD3-34 DT 63m giá 14,7 tỷ","Dự án Vinhomes Cổ Loa, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội",Đông Anh,14/12/2024,"Nhà biệt thự, liền kề tại Vinhomes Cổ Loa",19 tỷ,80 m²,0,0,0,0,0,0,0,0,80.0,19.0,5.0,5.0,4.0,"Nhà biệt thự, liền kề",Chưa rõ,Chưa rõ,Chưa rõ,237.5,2.9444389791664403,4.382026634673881
Check (free) bảng hàng cập nhật quỹ căn đẹp thấp tầng và chung cư Vinhomes Global Gate,"Dự án Vinhomes Cổ Loa, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội",Đông Anh,11/12/2024,"Nhà biệt thự, liền kề tại Vinhomes Cổ Loa",15 tỷ,"62,5 m²",0,0,0,0,0,Hợp đồng mua bán,0,0,62.5,15.0,5.0,5.0,4.0,"Nhà biệt thự, liền kề",HĐMB,Chưa rõ,Chưa rõ,240.0,2.70805020110221,4.135166556742356
Xanh Villas 2 - Chỉ hơn 50tr/m2 biệt thự sân vườn vận hành 5 sao cách Big C 30 phút,"Dự án Hà Nội Tropical Garden, Xã Yên Bình, Thạch Thất, Hà Nội",Thạch Thất,14/12/2024,"Nhà biệt thự, liền kề tại Hà Nội Tropical Garden","12,5 tỷ",220 m²,Đông,5 phòng,4 phòng,3 tầng,10 m,Hợp đồng mua bán,0,12 m,220.0,12.5,5.0,4.0,3.0,"Nhà biệt thự, liền kề",HĐMB,Chưa rõ,Đông,56.81818181818182,2.5257286443082556,5.393627546352362
Quỹ căn chuyển nhượng từ 1-2-3-4 phòng ngủ sẵn sổ đỏ cập nhật liên tục tại Green Diamond 93 Láng Hạ,"Dự án Green Diamond 93 Láng Hạ, Phố Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội",Đống Đa,04/12/2024,Căn hộ chung cư tại Green Diamond 93 Láng Hạ,"9,5 tỷ","91,4 m²",Đông - Nam,2 phòng,0,0,0,0,Full đồ nội thất.,0,91.4,9.5,2.0,2.0,1.0,Căn hộ chung cư,Chưa rõ,Đầy đủ/Cao cấp,Đông - Nam,103.93873085339168,2.2512917986064953,4.515245478460105
Bán căn hộ chung cư Sunshine Green Iconic (2 Ngủ: 5 tỷ và 3 ngủ: 8 tỷ) Liên hệ: 0981 757 ***,"Dự án Sunshine Green Iconic, Đường Nguyễn Lam, Phường Phúc Đồng, Long Biên, Hà Nội",Long Biên,05/12/2024,Căn hộ chung cư tại Sunshine Green Iconic,5 tỷ,80 m²,Đông - Bắc,2 phòng,2 phòng,0,0,Hợp đồng mua bán,"Nội thất nguyên bản chủ đầu tư: Bếp, tủ bếp, hút mùi, nóng lạnh, điều hòa âm trần, sàn gỗ, thiết bị vệ sinh...",0,80.0,5.0,2.0,2.0,1.0,Căn hộ chung cư,HĐMB,Khác,Đông - Bắc,62.5,1.6094379124341003,4.382026634673881
Độc quyền! Quỹ căn 2 - 3 ngủ giá cực tốt ký trực tiếp CĐT Hà Nội Melody chỉ 55tr/m2 view hồ đẹp,"Dự án Hà Nội Melody Residences, Đường Bằng Liệt, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",Hoàng Mai,11/12/2024,Căn hộ chung cư tại Hà Nội Melody Residences,"3,8 tỷ",68 m²,Đông - Bắc,2 phòng,2 phòng,0,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0,68.0,3.8,2.0,2.0,1.0,Căn hộ chung cư,Sổ đỏ/Sổ hồng,Đầy đủ/Cao cấp,Đông - Bắc,55.88235294117647,1.33500106673234,4.219507705176107
"Trực tiếp CĐT quỹ căn hoa hậu, CK 22%, miễn lãi gốc 36 tháng, giá từ 13x tỷ Vinhomes Global Gate","Dự án Vinhomes Cổ Loa, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội",Đông Anh,13/12/2024,"Nhà biệt thự, liền kề tại Vinhomes Cổ Loa","14,5 tỷ","62,5 m²",0,0,0,0,0,0,0,0,62.5,14.5,5.0,5.0,4.0,"Nhà biệt thự, liền kề",Chưa rõ,Chưa rõ,Chưa rõ,232.0,2.6741486494265287,4.135166556742356
"CĐT Bitexco ra hàng phân khu Aristo - Đẹp nhất The Manor, chiết khấu 21% + ưu đãi đặc biệt đón Tết","Dự án The Manor Central Park, Đường Đại Lộ Hoàng Mai, Phường Đại Kim, Hoàng Mai, Hà Nội",Hoàng Mai,14/12/2024,"Nhà biệt thự, liền kề tại The Manor Central Park",39 tỷ,108 m²,Tây - Bắc,5 phòng,6 phòng,5 tầng,6 m,Hợp đồng mua bán,Không nội thất.,"17,5 m",108.0,39.0,5.0,6.0,5.0,"Nhà biệt thự, liền kề",HĐMB,Không nội thất,Tây - Bắc,361.1111111111111,3.6635616461296463,4.68213122712422
